
Text conversion of header file \h820\optphotolab\Drones\DJI__Mavic_3M\viikki-field_calibration__20240523\reflec_3\DN_gravel__00125.asd
 -------------------------------------------------------------
                                                                                                                                                            
The instrument number was  18875/1
New ASD spectrum file: Program version = 6.04 file version = 7.00
Spectrum saved: 05/23/2024 at 17:17:01
VNIR integration time : 68
VNIR channel 1 wavelength = 350 wavelength step = 1
There was one sample per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 65535
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 16 offset was 2051
SWIR2 gain was 16 offset was 2074
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1800 nm
VNIR dark signal subtracted
100 dark measurements taken Thu May 23 17:12:29 2024
DCC value was 0
Data is not compared to a white reference
There was no foreoptic attached
Spectrum file is raw data with embedded reference
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is 00:00:00

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Wavelength	reflec_penels3-00125.asd
975	 1173.97381469583 
976	 1154.39777530812 
977	 1140.51093871524 
978	 1132.77646840765 
979	 1131.1118708303 
980	 1136.02205269418 
981	 1142.24717216697 
982	 1146.81511373936 
983	 1153.09041103982 
984	 1156.99865280888 
985	 1157.53313604037 
986	 1155.13315729579 
987	 1151.21688055096 
988	 1145.31853536357 
989	 1136.70294820441 
990	 1125.34521453045 
991	 1112.41946042572 
992	 1100.40166739505 
993	 1087.42105290671 
994	 1071.93534199734 
995	 1054.44418497046 
996	 1038.56754090819 
997	 1020.97474696929 
998	 1001.42089031291 
999	 984.492702350881 
1000	 965.543396823848 
1001	 3567.83086062936 
1002	 3590.51379620276 
1003	 3609.92795193904 
1004	 3630.32866360346 
1005	 3648.45355628125 
1006	 3673.4272017144 
1007	 3709.56439480491 
1008	 3743.41912187567 
1009	 3776.68554714656 
1010	 3806.29650768198 
1011	 3820.00732304273 
1012	 3844.21753357443 
1013	 3880.03886909407 
1014	 3920.10202569403 
1015	 3957.27929034124 
1016	 4006.58756442332 
1017	 4036.08934992152 
1018	 4050.92331478832 
1019	 4073.56786589007 
1020	 4095.70911249222 
1021	 4113.57085698534 
1022	 4149.26203801168 
1023	 4188.86381001151 
1024	 4221.25620178941 
1025	 4269.3895438616 
1026	 4326.99867359876 
1027	 4362.34456963367 
1028	 4392.90010708373 
1029	 4430.28278020887 
1030	 4462.78350731169 
1031	 4480.39684884242 
1032	 4514.79230051699 
1033	 4571.01706352379 
1034	 4613.59698539654 
1035	 4654.37293079563 
1036	 4711.44207890238 
1037	 4746.49215998012 
1038	 4775.32713174866 
1039	 4819.22528867631 
1040	 4839.54408036325 
1041	 4861.77411915836 
1042	 4886.18246341847 
1043	 4911.3073118533 
1044	 4931.04258928097 
1045	 4973.35297146069 
1046	 5000.95505273927 
1047	 5017.58394706792 
1048	 5043.44306743903 
1049	 5042.81623336583 
1050	 5047.29317746218 
1051	 5077.51458902571 
1052	 5095.12010735471 
1053	 5116.84679738616 
1054	 5130.8578052519 
1055	 5128.45635528378 
1056	 5099.21736259528 
1057	 5091.26367487918 
1058	 5077.68163510594 
1059	 5073.04240471397 
1060	 5085.10186863977 
1061	 5097.58115833609 
1062	 5108.33394474655 
1063	 5102.92786394316 
1064	 5085.90114250253 
1065	 5083.38337209051 
1066	 5070.44338171897 
1067	 5054.77155452373 
1068	 5061.95642191688 
1069	 5091.90101132672 
1070	 5111.16848984706 
1071	 5134.9458942642 
1072	 5167.10946600314 
1073	 5204.38010253219 
1074	 5229.14511471056 
1075	 5255.51897072816 
1076	 5284.83061304222 
1077	 5291.67160300049 
1078	 5290.04516811366 
1079	 5289.53522334165 
1080	 5295.13644421757 
1081	 5296.94309920222 
1082	 5297.31374719811 
1083	 5300.6080068938 
1084	 5291.55453941289 
1085	 5302.72588267686 
1086	 5328.0767046944 
1087	 5354.2052865786 
1088	 5393.6966438466 
1089	 5434.14848281608 
1090	 5434.02156550296 
1091	 5425.15022126349 
1092	 5387.33984956694 
1093	 5331.79710013291 
1094	 5298.12948434942 
1095	 5273.11036224994 
1096	 5239.79441644438 
1097	 5214.81044748191 
1098	 5178.31533427262 
1099	 5128.3381986338 
1100	 5086.59073499311 
1101	 5044.31969895023 
1102	 5006.63037426897 
1103	 4973.22557290444 
1104	 4917.9346621651 
1105	 4851.41259268958 
1106	 4788.34178940357 
1107	 4729.47545507729 
1108	 4636.65466525447 
1109	 4490.92570674892 
1110	 4337.71554543223 
1111	 4098.95289309447 
1112	 3769.49437413984 
1113	 3439.45080663089 
1114	 3000.8124900651 
1115	 2646.93659876129 
1116	 2285.6899027035 
1117	 1969.29001299745 
1118	 1747.62118492598 
1119	 1575.99979919823 
1120	 1449.68439239113 
1121	 1342.03940061194 
1122	 1258.42970185042 
1123	 1205.10507152092 
1124	 1164.8458952027 
